,CV_ID,Experience,Language Level - French,Match_ID,Status,4. CV sent to Client,4. Client initial validation date,7. Client final approval date,Gender,MatchStatus
452,1799,[8+],B1,10316,A05 - Onboarding,2017-01-26,2017-01-26,2017-01-26,M,1.0
453,1805,[8+],A1,10319,A03 - Process Cancelled,2017-02-02,2017-02-02,2017-02-10,M,1.0
456,1809,[8+],A1,10318,A03 - Offer declined,2017-02-02,2017-02-02,2017-02-09,M,1.0
462,1812,[5-8],A1,10352,D01 – Resignation,2017-02-02,2017-02-02,2017-02-10,F,1.0
463,1813,[2-4],C2,10317,A05 - Onboarding,2017-02-01,2017-02-01,2017-02-01,F,1.0
464,1813,[2-4],C2,12788,A03 - Process Cancelled,2017-01-22,2017-01-22,2017-01-23,F,1.0
465,1814,[8+],A2,10327,A05 - Onboarding,2017-02-02,2017-02-02,2017-02-10,F,1.0
467,1816,[8+],A1,10332,Rejected,,,,F,1.0
468,1816,[8+],A1,10396,Rejected,,,,M,1.0
469,1816,[8+],A1,10748,CV refused,2017-05-05,2017-05-05,,F,1.0
470,1816,[8+],A1,10763,A05 - Onboarding,2017-05-04,2017-05-04,2017-05-15,M,1.0
479,1822,[8+],C2,10330,CV refused,2017-01-31,2017-01-31,,F,1.0
480,1822,[8+],C2,10389,A05 - Onboarding,2017-02-13,2017-02-14,2017-02-16,F,1.0
481,1823,[8+],A2,10351,A05 - Onboarding,2017-01-30,2017-01-30,2017-02-10,F,1.0
482,1844,[8+],A1,10349,A03 - Offer declined,2017-02-07,2017-02-07,2017-02-21,F,1.0
486,1881,[8+],C2,10345,A05 - Onboarding,2017-02-02,2017-02-07,2017-02-14,M,1.0
487,1882,[8+],A1,10347,A05 - Onboarding,2017-02-07,2017-02-07,2017-02-21,M,1.0
488,1883,[8+],A1,10348,A05 - Onboarding,2017-02-01,2017-02-01,2017-02-21,F,1.0
489,1884,[8+],B1,10411,A05 - Onboarding,2017-02-14,2017-02-21,2017-03-01,F,1.0
490,1884,[8+],B1,10489,CV refused,2017-02-23,2017-02-23,,F,1.0
492,1886,[5-8],B2,10367,Candidate refused,2017-02-08,2017-02-10,2017-02-24,F,1.0
