CV_ID,Experience,Language Level - French,Match_ID,Status,4. CV sent to Client,4. Client initial validation date,7. Client final approval date,MatchStatus,response_time,decision_time,Gender
1816,[8+],A1,10332,Rejected,,,,0,,,M
1816,[8+],A1,10396,Rejected,,,,0,,,M
1816,[8+],A1,10748,CV refused,2017-05-05,2017-05-05,,0,0 days 00:00:00.000000000,,M
1816,[8+],A1,10763,A05 - Onboarding,2017-05-04,2017-05-04,2017-05-15,1,0 days 00:00:00.000000000,11 days 00:00:00.000000000,M
1822,[8+],C2,10330,CV refused,2017-01-31,2017-01-31,,0,0 days 00:00:00.000000000,,M
1822,[8+],C2,10389,A05 - Onboarding,2017-02-13,2017-02-14,2017-02-16,1,1 days 00:00:00.000000000,2 days 00:00:00.000000000,M
1823,[8+],A2,10351,A05 - Onboarding,2017-01-30,2017-01-30,2017-02-10,1,0 days 00:00:00.000000000,11 days 00:00:00.000000000,M
1844,[8+],A1,10349,A03 - Offer declined,2017-02-07,2017-02-07,2017-02-21,1,0 days 00:00:00.000000000,14 days 00:00:00.000000000,F
1881,[8+],C2,10345,A05 - Onboarding,2017-02-02,2017-02-07,2017-02-14,1,5 days 00:00:00.000000000,7 days 00:00:00.000000000,F
1882,[8+],A1,10347,A05 - Onboarding,2017-02-07,2017-02-07,2017-02-21,1,0 days 00:00:00.000000000,14 days 00:00:00.000000000,F
1883,[8+],A1,10348,A05 - Onboarding,2017-02-01,2017-02-01,2017-02-21,1,0 days 00:00:00.000000000,20 days 00:00:00.000000000,M
1884,[8+],B1,10411,A05 - Onboarding,2017-02-14,2017-02-21,2017-03-01,1,7 days 00:00:00.000000000,8 days 00:00:00.000000000,F
1884,[8+],B1,10489,CV refused,2017-02-23,2017-02-23,,0,0 days 00:00:00.000000000,,F
1886,[5-8],B2,10367,Candidate refused,2017-02-08,2017-02-10,2017-02-24,0,2 days 00:00:00.000000000,14 days 00:00:00.000000000,M
1886,[5-8],B2,10623,A03 - Offer declined,2017-03-28,2017-03-28,2017-04-03,1,0 days 00:00:00.000000000,6 days 00:00:00.000000000,M
1886,[5-8],B2,11712,Dropped out,2018-04-10,2018-04-10,,0,0 days 00:00:00.000000000,,M
1888,[8+],A2,10362,A03 - Offer declined,2017-02-09,2017-02-09,2017-02-16,1,0 days 00:00:00.000000000,7 days 00:00:00.000000000,M
1888,[8+],A2,10378,CV refused,2017-02-09,2017-02-13,,0,4 days 00:00:00.000000000,,M
1888,[8+],A2,11258,CV refused,2017-09-12,2017-09-12,,0,0 days 00:00:00.000000000,,M
1889,[8+],A2,10364,A05 - Onboarding,2017-02-09,2017-02-09,2017-02-16,1,0 days 00:00:00.000000000,7 days 00:00:00.000000000,M
